label,variant,compression,n_files,stored_mb,up_mbps,dl_mbps,puts,gets,lists,listing_time_s,storage_chf,requests_chf,transfer_chf,total_chf,query_time_s
N,raw,,1,24.36,20.66,21.66,1,2,1,0.1049,0.000487,2.2e-05,0.002192,0.002702,0.093
N,parquet,none,1,17.57,14.05,31.39,1,2,1,0.0331,0.000351,2.2e-05,0.001581,0.001955,0.036
N,parquet,snappy,1,9.53,9.57,25.24,1,2,1,0.0328,0.000191,2.2e-05,0.000858,0.001071,0.036
N,parquet,zstd,1,6.76,10.13,19.44,1,2,1,0.0508,0.000135,2.2e-05,0.000609,0.000766,0.024
N,parquet_small,,1,9.53,10.74,22.76,1,2,1,0.0315,0.000191,2.2e-05,0.000858,0.001071,0.037
N,parquet_partitioned,,120,45.84,4.21,2.54,60,120,60,0.151,0.000917,0.00132,0.004125,0.006362,0.207
